#SNOWEX IOP GRAND MESA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
#SMP MEASUREMENTS,,,,,,,,
#Level_1=omitted files removed from level_0,,,,,,,,
#OBSERVER:,"Megan Mason (MM), HP Marshall (HP), Ioanna Merkouriadi (IM)",,,,,,,
"#P=pitwall measurement, P_top=top portion of pit, P_mid=mid portion, P_bot=bottom portion",,,,,,,,
#SMP instrument number: ,,"06=SMP06 (short), 19=SMP19 (1.75m, longest), 19b=SMP19re-born (parts harvested from SMP06)",,,,,,
#Orientation:,"ex, N5,N4,N3,N2,N1=10,20,30,40,50m, C=Center (transect crossing point)",,,,,,,
"#CK=check when plotting, something doesn't align with notes",,,,,,,,
#NA=measurement not taken or not applicable,,,,,,,,
Date,Pit ID,SMP instrument # ,Fname sufix,Orientation,Snow depth,Flag,Observer,Comments
2020-01-28 00:00:00,1N6,6,653,P_mid2,52,,IM,set SPM depth to 50 cm to avoid hitting the ground
2020-01-28 00:00:00,1N6,6,654,P_mid3,52,,IM,set SPM depth to 50 cm to avoid hitting the ground
2020-01-28 00:00:00,1N6,6,655,P_bot2,,,IM,set SPM depth to 50 cm to avoid hitting the ground
2020-01-28 00:00:00,1N6,6,657,P_bot3,52,,IM,set SPM depth to 50 cm to avoid hitting the ground
2020-01-28 00:00:00,5N10,6,659,S2,,,IM,There was no time for the whole cross section. Measurements where taken between the spiral lines of HP's radar route. 
2020-01-28 00:00:00,5N10,6,660,S1,,,IM,
2020-01-28 00:00:00,5N10,6,662,S3,,,IM,
2020-01-28 00:00:00,5N10,6,664,N3,,,IM,
2020-01-28 00:00:00,5N10,6,665,N2,,,IM,
2020-01-28 00:00:00,5N10,6,666,N1,,,IM,
2020-01-28 00:00:00,5N10,6,667,W1,,,IM,
2020-01-28 00:00:00,5N10,6,668,W2,,,IM,
2020-01-28 00:00:00,5N10,6,669,W3,,,IM,
2020-01-28 00:00:00,5N10,6,670,E3,,,IM,
2020-01-28 00:00:00,5N10,6,671,E2,,,IM,
2020-01-28 00:00:00,5N10,6,672,E1,,,IM,
2020-01-28 00:00:00,5N10,6,673,P_top1,,,IM,
2020-01-28 00:00:00,5N10,6,674,P_top2,,,IM,
2020-01-28 00:00:00,5N10,6,675,P_top3,,,IM,
2020-01-28 00:00:00,5N10,6,676,P_bot1,25,,IM,
2020-01-28 00:00:00,5N10,6,677,P_bot2,25,,IM,
2020-01-28 00:00:00,5N10,6,678,P_bot3,25,,IM,
2020-01-29 00:00:00,1S1,19,798,N1,,,MM,
2020-01-29 00:00:00,1S1,19,799,N2,,,MM,
2020-01-29 00:00:00,1S1,19,800,N3,,,MM,
2020-01-29 00:00:00,1S1,19,801,N4,,,MM,
2020-01-29 00:00:00,1S1,19,802,N5,,,MM,
2020-01-29 00:00:00,1S1,19,803,C,,,MM,
2020-01-29 00:00:00,1S1,19,804,S5,,,MM,
2020-01-29 00:00:00,1S1,19,805,S4,,,MM,
2020-01-29 00:00:00,1S1,19,806,S3,,,MM,
2020-01-29 00:00:00,1S1,19,807,S2,,,MM,
2020-01-29 00:00:00,1S1,19,808,S1,,,MM,
2020-01-29 00:00:00,1S1,19,809,E1,,,MM,
2020-01-29 00:00:00,1S1,19,810,E2,,,MM,
2020-01-29 00:00:00,1S1,19,811,E3,,,MM,
2020-01-29 00:00:00,1S1,19,812,E4,,,MM,
2020-01-29 00:00:00,1S1,19,813,E5,,,MM,
2020-01-29 00:00:00,1S1,19,814,W5,,,MM,
2020-01-29 00:00:00,1S1,19,815,W4,,,MM,
2020-01-29 00:00:00,1S1,19,816,W3,,,MM,
2020-01-29 00:00:00,1S1,19,817,W2,,,MM,
2020-01-29 00:00:00,1S1,19,818,W1,,,MM,
2020-01-29 00:00:00,1S1,19,819,P,,,MM,
2020-01-29 00:00:00,1S1,19,820,P,,,MM,
2020-01-29 00:00:00,1S1,19,821,P,,,MM,
2020-01-29 00:00:00,2S3,19,822,E1,,,MM,
2020-01-29 00:00:00,2S3,19,823,E2,,,MM,
2020-01-29 00:00:00,2S3,19,824,E3,,,MM,
2020-01-29 00:00:00,2S3,19,825,E4,,,MM,
2020-01-29 00:00:00,2S3,19,826,E5,,,MM,
2020-01-29 00:00:00,2S3,19,827,C,,,MM,
2020-01-29 00:00:00,2S3,19,828,W5,,,MM,
2020-01-29 00:00:00,2S3,19,829,W4,,,MM,
2020-01-29 00:00:00,2S3,19,830,W3,,,MM,
2020-01-29 00:00:00,2S3,19,831,W2,,,MM,
2020-01-29 00:00:00,2S3,19,832,W1,,,MM,
2020-01-29 00:00:00,2S3,19,833,S1,,,MM,
2020-01-29 00:00:00,2S3,19,834,S2,,,MM,
2020-01-29 00:00:00,2S3,19,835,S3,,,MM,
2020-01-29 00:00:00,2S3,19,836,S4,,,MM,
2020-01-29 00:00:00,2S3,19,837,S5,,,MM,
2020-01-29 00:00:00,2S3,19,838,N5,,,MM,
2020-01-29 00:00:00,2S3,19,839,N4,,,MM,
2020-01-29 00:00:00,2S3,19,840,N3,,,MM,
2020-01-29 00:00:00,2S3,19,841,N2,,,MM,
2020-01-29 00:00:00,2S3,19,842,N1,,,MM,
2020-01-29 00:00:00,2S3,19,843,P,,,MM,
2020-01-29 00:00:00,2S3,19,844,P,,,MM,
2020-01-29 00:00:00,2S3,19,845,P,,,MM,
2020-01-29 00:00:00,3S5,19,846,N1,,,MM,
2020-01-29 00:00:00,2S48,6,680,E1,,,IM,
2020-01-29 00:00:00,2S48,6,681,E2,,,IM,
2020-01-29 00:00:00,2S48,6,682,E3,,,IM,
2020-01-29 00:00:00,2S48,6,683,E4,,,IM,
2020-01-29 00:00:00,2S48,6,684,E5,,,IM,
2020-01-29 00:00:00,2S48,6,685,C,,,IM,
2020-01-29 00:00:00,2S48,6,686,W5,,,IM,
2020-01-29 00:00:00,2S48,6,687,W4,,,IM,
2020-01-29 00:00:00,2S48,6,688,W3,,,IM,
2020-01-29 00:00:00,2S48,6,689,W2,,,IM,
2020-01-29 00:00:00,2S48,6,690,W1,,,IM,
2020-01-29 00:00:00,2S48,6,691,N3,,,IM,
2020-01-29 00:00:00,2S48,6,692,N2,,,IM,
2020-01-29 00:00:00,2S48,6,693,N1,,,IM,
2020-01-29 00:00:00,2S48,6,694,S3,,,IM,
2020-01-29 00:00:00,2S48,6,695,S2,,,IM,
2020-01-29 00:00:00,2S48,6,696,S1,,,IM,
2020-01-29 00:00:00,2S48,6,698,P_top1,,,IM,
2020-01-29 00:00:00,2S48,6,699,P_top2,,,IM,
2020-01-29 00:00:00,2S48,6,700,P_top3,,,IM,
2020-01-29 00:00:00,2S48,6,701,P_bot1,,,IM,
2020-01-29 00:00:00,2S48,6,702,P_bot2,,,IM,
2020-01-29 00:00:00,2S48,6,703,P_bot3,,,IM,
2020-01-29 00:00:00,5S43,6,704,E1,,,IM,
2020-01-29 00:00:00,5S43,6,705,E2,,,IM,
2020-01-29 00:00:00,5S43,6,706,E3,,,IM,
2020-01-29 00:00:00,5S43,6,707,E4,,,IM,
2020-01-29 00:00:00,5S43,6,708,E5,,,IM,
2020-01-29 00:00:00,5S43,6,710,C,,,IM,measurement started 1cm below the surface
2020-01-29 00:00:00,5S43,6,711,W5,,,IM,"measurement started 1cm below the surface, hit ground"
2020-01-29 00:00:00,5S43,6,716,W4,,,IM,
